submission_id,question,response1,startDate,context_picture,sentence_order,domain,experiment_id,problems,enjoyment,item,botresponse,option2,option1,understand,text,target,age,comments,education,target_size,sentences,languages,sex,np,RT,context,sentence2,trial_number,startTime,fairprice,congruence,response2,sentence1,trial_name
948,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),NA,NA,NA,27,NA,2,NA,Barbara,very well,very bad,yes,Imagine you see this chair.,warmup/purple-chair.png,25,NA,graduated_college,NA,NA,English,male,NA,7975,NA,The chair is blue.,1,1575059614061,0.8,NA,0,The chair is yellow.,custom_warmup
948,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),NA,NA,NA,27,NA,2,NA,Barbara,very well,very bad,yes,Imagine you see this basketball.,warmup/basketball.png,25,NA,graduated_college,NA,NA,English,male,NA,4719,NA,The basketball is green.,2,1575059614061,0.8,NA,0,The basketball is orange.,custom_warmup
948,How well does each of these sentences describe it? (Click on the slider to provide a rating),96,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),images/tree-parade-basic.png,0|1,trees,27,NA,2,bonsai,Barbara,very well,very bad,yes,You also see this bonsai.,warmup/bonsai.jpg,25,NA,graduated_college,1,<b>That's a small bonsai.</b>|<b>That bonsai is small.</b>,English,male,0,8898,You and your friend see the following:,1,1,1575059614061,0.8,0,100,0,custom_slider1
948,How well does each of these sentences describe it? (Click on the slider to provide a rating),48,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),images/flower-parade-basic.png,0|1,flowers,27,NA,2,sunflower,Barbara,very well,very bad,yes,You also see this sunflower.,warmup/sunflower.png,25,NA,graduated_college,0,<b>That's a big flower.</b>|<b>That flower is big.</b>,English,male,1,9279,You and your friend see the following:,1,2,1575059614061,0.8,0,48,0,custom_slider1
948,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),images/dog-parade-basic.png,0|1,dogs1,27,NA,2,chihuahua,Barbara,very well,very bad,yes,You also see this chihuahua.,warmup/chihuahua.jpg,25,NA,graduated_college,1,<b>That's a small dog.</b>|<b>That dog is small.</b>,English,male,1,7031,You and your friend see the following:,1,3,1575059614061,0.8,0,100,0,custom_slider1
948,How well does each of these sentences describe it? (Click on the slider to provide a rating),31,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),images/dog-parade-basic2.png,NA,dogs2,27,NA,2,great dane,Barbara,very well,very bad,yes,You also see this great dane.,warmup/great-dane.jpg,25,NA,graduated_college,0,<b>That's a big great dane.</b>|<b>That great dane is big.</b>,English,male,0,9816,You and your friend see the following:,1,1,1575059614061,0.8,0,100,0,custom_slider2
948,How well does each of these sentences describe it? (Click on the slider to provide a rating),25,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),images/bird-parade-basic.png,0|1,birds,27,NA,2,hummingbird,Barbara,very well,very bad,yes,You also see this hummingbird.,warmup/colibri.jpg,25,NA,graduated_college,1,<b>That's a small hummingbird.</b>|<b>That hummingbird is small.</b>,English,male,0,7800,You and your friend see the following:,1,2,1575059614061,0.8,0,100,0,custom_slider2
948,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:33:34 GMT-0600 (Central Standard Time),images/fish-parade-basic.png,0|1,fish,27,NA,2,swordfish,Barbara,very well,very bad,yes,You also see this swordfish.,warmup/swordfish.jpg,25,NA,graduated_college,0,<b>That's a big fish.</b>|<b>That fish is big.</b>,English,male,1,7056,You and your friend see the following:,1,3,1575059614061,0.8,0,100,0,custom_slider2
954,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),NA,NA,NA,27,No,2,NA,Susan,very well,very bad,yes,Imagine you see this chair.,warmup/purple-chair.png,29,Good,graduated_college,NA,NA,English,male,NA,9528,NA,The chair is blue.,1,1575059686789,NA,NA,100,The chair is yellow.,custom_warmup
954,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),NA,NA,NA,27,No,2,NA,Susan,very well,very bad,yes,Imagine you see this basketball.,warmup/basketball.png,29,Good,graduated_college,NA,NA,English,male,NA,5966,NA,The basketball is green.,2,1575059686789,NA,NA,0,The basketball is orange.,custom_warmup
954,How well does each of these sentences describe it? (Click on the slider to provide a rating),30,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),images/tree-parade-basic.png,1|0,trees,27,No,2,sequoia,Susan,very well,very bad,yes,You also see this sequoia.,warmup/sequoia.png,29,Good,graduated_college,0,<b>That's a big sequoia.</b>|<b>That sequoia is big.</b>,English,male,0,12170,You and your friend see the following:,0,1,1575059686789,NA,0,77,1,custom_slider1
954,How well does each of these sentences describe it? (Click on the slider to provide a rating),58,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),images/dog-parade-basic2.png,NA,dogs2,27,No,2,pug,Susan,very well,very bad,yes,You also see this pug.,warmup/pug.jpg,29,Good,graduated_college,1,<b>That's a small dog.</b>|<b>That dog is small.</b>,English,male,1,3373,You and your friend see the following:,0,2,1575059686789,NA,0,43,1,custom_slider1
954,How well does each of these sentences describe it? (Click on the slider to provide a rating),56,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),images/dog-parade-basic.png,1|0,dogs1,27,No,2,chihuahua,Susan,very well,very bad,yes,You also see this chihuahua.,warmup/chihuahua.jpg,29,Good,graduated_college,1,<b>That's a small chihuahua.</b>|<b>That chihuahua is small.</b>,English,male,0,12200,You and your friend see the following:,0,3,1575059686789,NA,0,44,1,custom_slider1
954,How well does each of these sentences describe it? (Click on the slider to provide a rating),51,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),images/bird-parade-basic.png,1|0,birds,27,No,2,eagle,Susan,very well,very bad,yes,You also see this eagle.,warmup/eagle.jpg,29,Good,graduated_college,0,<b>That's a big bird.</b>|<b>That bird is big.</b>,English,male,1,4975,You and your friend see the following:,0,1,1575059686789,NA,0,74,1,custom_slider2
954,How well does each of these sentences describe it? (Click on the slider to provide a rating),44,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),images/flower-parade-basic.png,1|0,flowers,27,No,2,dandelion,Susan,very well,very bad,yes,You also see this dandelion.,warmup/dandelion.jpg,29,Good,graduated_college,1,<b>That's a small flower.</b>|<b>That flower is small.</b>,English,male,1,3001,You and your friend see the following:,0,2,1575059686789,NA,0,77,1,custom_slider2
954,How well does each of these sentences describe it? (Click on the slider to provide a rating),61,Fri Nov 29 2019 12:34:46 GMT-0800 (Pacific Standard Time),images/fish-parade-basic.png,1|0,fish,27,No,2,swordfish,Susan,very well,very bad,yes,You also see this swordfish.,warmup/swordfish.jpg,29,Good,graduated_college,0,<b>That's a big swordfish.</b>|<b>That swordfish is big.</b>,English,male,0,2622,You and your friend see the following:,0,3,1575059686789,NA,0,37,1,custom_slider2
965,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),NA,NA,NA,27,No,2,NA,mary,very well,very bad,yes,Imagine you see this chair.,warmup/purple-chair.png,39,No comments at the current time.,some_college,NA,NA,English,female,NA,8408,NA,The chair is blue.,1,1575059812837,0.9,NA,0,The chair is yellow.,custom_warmup
965,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),NA,NA,NA,27,No,2,NA,mary,very well,very bad,yes,Imagine you see this basketball.,warmup/basketball.png,39,No comments at the current time.,some_college,NA,NA,English,female,NA,8909,NA,The basketball is green.,2,1575059812837,0.9,NA,0,The basketball is orange.,custom_warmup
965,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),images/tree-parade-basic.png,1|0,trees,27,No,2,bonsai,mary,very well,very bad,yes,You also see this bonsai.,warmup/bonsai.jpg,39,No comments at the current time.,some_college,1,<b>That's a small bonsai.</b>|<b>That bonsai is small.</b>,English,female,0,25991,You and your friend see the following:,0,1,1575059812837,0.9,0,51,1,custom_slider1
965,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),images/fish-parade-basic.png,1|0,fish,27,No,2,goldfish,mary,very well,very bad,yes,You also see this goldfish.,warmup/goldfish.png,39,No comments at the current time.,some_college,1,<b>That's a small fish.</b>|<b>That fish is small.</b>,English,female,1,11016,You and your friend see the following:,0,2,1575059812837,0.9,0,75,1,custom_slider1
965,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),images/flower-parade-basic.png,1|0,flowers,27,No,2,sunflower,mary,very well,very bad,yes,You also see this sunflower.,warmup/sunflower.png,39,No comments at the current time.,some_college,0,<b>That's a big flower.</b>|<b>That flower is big.</b>,English,female,1,10456,You and your friend see the following:,0,3,1575059812837,0.9,0,100,1,custom_slider1
965,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),images/dog-parade-basic2.png,NA,dogs2,27,No,2,pug,mary,very well,very bad,yes,You also see this pug.,warmup/pug.jpg,39,No comments at the current time.,some_college,1,<b>That's a small pug.</b>|<b>That pug is small.</b>,English,female,0,9431,You and your friend see the following:,0,1,1575059812837,0.9,0,54,1,custom_slider2
965,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),images/bird-parade-basic.png,1|0,birds,27,No,2,eagle,mary,very well,very bad,yes,You also see this eagle.,warmup/eagle.jpg,39,No comments at the current time.,some_college,0,<b>That's a big eagle.</b>|<b>That eagle is big.</b>,English,female,0,7448,You and your friend see the following:,0,2,1575059812837,0.9,0,55,1,custom_slider2
965,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:36:52 GMT-0600 (Central Standard Time),images/dog-parade-basic.png,1|0,dogs1,27,No,2,doberman,mary,very well,very bad,yes,You also see this doberman.,warmup/doberman.png,39,No comments at the current time.,some_college,0,<b>That's a big dog.</b>|<b>That dog is big.</b>,English,female,1,8552,You and your friend see the following:,0,3,1575059812837,0.9,0,73,1,custom_slider2
950,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Fri Nov 29 2019 14:32:46 GMT-0600 (Central Standard Time),NA,NA,NA,27,NA,1,NA,sarah,very well,very bad,yes,Imagine you see this chair.,warmup/purple-chair.png,32,NA,some_college,NA,NA,English,male,NA,15122,NA,The chair is blue.,1,1575059566503,0.6,NA,100,The chair is yellow.,custom_warmup
950,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,Fri Nov 29 2019 14:32:46 GMT-0600 (Central Standard Time),NA,NA,NA,27,NA,1,NA,sarah,very well,very bad,yes,Imagine you see this basketball.,warmup/basketball.png,32,NA,some_college,NA,NA,English,male,NA,9117,NA,The basketball is green.,2,1575059566503,0.6,NA,0,The basketball is orange.,custom_warmup
950,How well does each of these sentences describe it? (Click on the slider to provide a rating),67,Fri Nov 29 2019 14:32:46 GMT-0600 (Central Standard Time),images/dog-parade-basic2.png,NA,dogs2,27,NA,1,great dane,sarah,very well,very bad,yes,You also see this great dane.,warmup/great-dane.jpg,32,NA,some_college,0,<b>That's a big dog.</b>|<b>That dog is big.</b>,English,male,1,39941,You and your friend see the following:,0,1,1575059566503,0.6,0,68,1,custom_slider1
950,How well does each of these sentences describe it? (Click on the slider to provide a rating),61,Fri Nov 29 2019 14:32:46 GMT-0600 (Central Standard Time),images/bird-parade-basic.png,1|0,birds,27,NA,1,eagle,sarah,very well,very bad,yes,You also see this eagle.,warmup/eagle.jpg,32,NA,some_college,0,<b>That's a big eagle.</b>|<b>That eagle is big.</b>,English,male,0,19232,You and your friend see the following:,0,2,1575059566503,0.6,0,61,1,custom_slider1
950,How well does each of these sentences describe it? (Click on the slider to provide a rating),77,Fri Nov 29 2019 14:32:46 GMT-0600 (Central Standard Time),images/fish-parade-basic.png,1|0,fish,27,NA,1,goldfish,sarah,very well,very bad,yes,You also see this goldfish.,warmup/goldfish.png,32,NA,some_college,1,<b>That's a small goldfish.</b>|<b>That goldfish is small.</b>,English,male,0,13860,You and your friend see the following:,0,3,1575059566503,0.6,0,70,1,custom_slider1
