submission_id,question,response1,startDate,context_picture,sentence_order,domain,experiment_id,problems,enjoyment,hit_id,item,botresponse,assignment_id,option2,option1,understand,text,target,age,comments,education,target_size,worker_id,sentences,languages,sex,np,context,sentence2,trial_number,startTime,fairprice,congruence,response2,sentence1,trial_name
523,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),NA,NA,NA,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,NA,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,Imagine you see this chair.,warmup/purple-chair.png,,N/A,some_college,NA,A219Y0MX694TM2,NA,English,female,NA,NA,The chair is blue.,1,1568233131819,.50,NA,0,The chair is yellow.,custom_warmup
523,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),NA,NA,NA,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,NA,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,Imagine you see this basketball.,warmup/basketball.png,,N/A,some_college,NA,A219Y0MX694TM2,NA,English,female,NA,NA,The basketball is green.,2,1568233131819,.50,NA,0,The basketball is orange.,custom_warmup
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),0,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),images/flower-parade-basic.png,1|0,flowers,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,dandelion,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,You also see this dandelion.,warmup/dandelion.jpg,,N/A,some_college,1,A219Y0MX694TM2,<b>That's a big flower.</b>|<b>That flower is big.</b>,English,female,1,You and your friend see the following:,NA,1,1568233131819,.50,1,0,NA,custom_slider1
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),0,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),images/dog-parade-basic2.png,1|0,dogs2,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,great dane,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,You also see this great dane.,warmup/great-dane.jpg,,N/A,some_college,0,A219Y0MX694TM2,<b>That's a small great dane.</b>|<b>That great dane is small.</b>,English,female,0,You and your friend see the following:,NA,2,1568233131819,.50,1,0,NA,custom_slider1
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),images/dog-parade-basic.png,1|0,dogs1,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,chihuahua,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,You also see this chihuahua.,warmup/chihuahua.jpg,,N/A,some_college,1,A219Y0MX694TM2,<b>That's a small dog.</b>|<b>That dog is small.</b>,English,female,1,You and your friend see the following:,NA,3,1568233131819,.50,0,100,NA,custom_slider1
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),images/tree-parade-basic.png,1|0,trees,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,sequoia,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,You also see this sequoia.,warmup/sequoia.png,,N/A,some_college,0,A219Y0MX694TM2,<b>That's a big sequoia.</b>|<b>That sequoia is big.</b>,English,female,0,You and your friend see the following:,NA,1,1568233131819,.50,0,100,NA,custom_slider2
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),0,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),images/bird-parade-basic.png,1|0,birds,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,eagle,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,You also see this eagle.,warmup/eagle.jpg,,N/A,some_college,0,A219Y0MX694TM2,<b>That's a small eagle.</b>|<b>That eagle is small.</b>,English,female,0,You and your friend see the following:,NA,2,1568233131819,.50,1,0,NA,custom_slider2
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Wed Sep 11 2019 13:18:51 GMT-0700 (Pacific Daylight Time),images/fish-parade-basic.png,1|0,fish,14,N/A,1,36BTXXLZ2VW2LCUK0UEOEGM5X4HR4A,goldfish,Susan,340UGXU9DZPWI139EMFIG15Q9GFUVM,very well,very bad,,You also see this goldfish.,warmup/goldfish.png,,N/A,some_college,1,A219Y0MX694TM2,<b>That's a small fish.</b>|<b>That fish is small.</b>,English,female,1,You and your friend see the following:,NA,3,1568233131819,.50,0,100,NA,custom_slider2
522,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Wed Sep 11 2019 16:14:51 GMT-0300 (Chile Summer Time),NA,NA,NA,14,,2,3HJ1EVZS2O7H3GBG0G954BUZJ4LR3P,NA,susan,3VJ40NV2QJBMS4FND53UGDPGU9VTOC,very well,very bad,yes,Imagine you see this chair.,warmup/purple-chair.png,33,,some_college,NA,A2HAP8SUY3WYKR,NA,English,female,NA,NA,The chair is blue.,1,1568229291145,0.75,NA,14,The chair is yellow.,custom_warmup
522,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,Wed Sep 11 2019 16:14:51 GMT-0300 (Chile Summer Time),NA,NA,NA,14,,2,3HJ1EVZS2O7H3GBG0G954BUZJ4LR3P,NA,susan,3VJ40NV2QJBMS4FND53UGDPGU9VTOC,very well,very bad,yes,Imagine you see this basketball.,warmup/basketball.png,33,,some_college,NA,A2HAP8SUY3WYKR,NA,English,female,NA,NA,The basketball is green.,2,1568229291145,0.75,NA,0,The basketball is orange.,custom_warmup
